,Time,net_TX
0,2018-07-19 16:00:05+00:00,97.5
1,2018-07-19 16:00:05+00:00,97.5
2,2018-07-19 16:00:10+00:00,78.0
3,2018-07-19 16:00:15+00:00,97.5
4,2018-07-19 16:00:20+00:00,114.0
5,2018-07-19 16:00:25+00:00,94.5
6,2018-07-19 16:00:30+00:00,97.5
7,2018-07-19 16:00:35+00:00,97.5
8,2018-07-19 16:00:40+00:00,78.0
9,2018-07-19 16:00:45+00:00,108.5
10,2018-07-19 16:00:50+00:00,119.5
11,2018-07-19 16:00:55+00:00,78.0
12,2018-07-19 16:01:00+00:00,97.5
13,2018-07-19 16:01:05+00:00,97.5
14,2018-07-19 16:01:10+00:00,78.0
15,2018-07-19 16:01:15+00:00,95.0
16,2018-07-19 16:01:20+00:00,114.5
17,2018-07-19 16:01:25+00:00,97.5
18,2018-07-19 16:01:30+00:00,78.0
19,2018-07-19 16:01:35+00:00,97.5
20,2018-07-19 16:01:40+00:00,116.0
21,2018-07-19 16:01:45+00:00,96.5
22,2018-07-19 16:01:50+00:00,97.5
23,2018-07-19 16:01:55+00:00,97.5
24,2018-07-19 16:02:00+00:00,78.0
25,2018-07-19 16:02:05+00:00,97.5
26,2018-07-19 16:02:10+00:00,134.5
27,2018-07-19 16:02:15+00:00,78.0
28,2018-07-19 16:02:20+00:00,97.5
29,2018-07-19 16:02:25+00:00,97.5
30,2018-07-19 16:02:30+00:00,78.0
31,2018-07-19 16:02:35+00:00,96.5
32,2018-07-19 16:02:40+00:00,116.0
33,2018-07-19 16:02:45+00:00,48.0
34,2018-07-19 16:02:50+00:00,12.0
35,2018-07-19 16:02:55+00:00,15.0
36,2018-07-19 16:03:00+00:00,15.0
37,2018-07-19 16:03:05+00:00,15.0
38,2018-07-19 16:03:10+00:00,15.0
39,2018-07-19 16:03:15+00:00,12.0
40,2018-07-19 16:03:20+00:00,15.0
41,2018-07-19 16:03:25+00:00,15.0
42,2018-07-19 16:03:30+00:00,12.0
43,2018-07-19 16:03:35+00:00,15.0
44,2018-07-19 16:03:40+00:00,15.0
45,2018-07-19 16:03:45+00:00,12.0
46,2018-07-19 16:03:50+00:00,15.0
47,2018-07-19 16:03:55+00:00,15.0
48,2018-07-19 16:04:00+00:00,12.0
49,2018-07-19 16:04:05+00:00,15.0
50,2018-07-19 16:04:10+00:00,15.0
51,2018-07-19 16:04:15+00:00,12.0
52,2018-07-19 16:04:20+00:00,15.0
53,2018-07-19 16:04:25+00:00,15.0
54,2018-07-19 16:04:30+00:00,12.0
55,2018-07-19 16:04:35+00:00,15.0
56,2018-07-19 16:04:40+00:00,15.0
57,2018-07-19 16:04:45+00:00,15.0
58,2018-07-19 16:04:50+00:00,15.0
59,2018-07-19 16:04:55+00:00,12.0
60,2018-07-19 16:05:00+00:00,15.0
61,2018-07-19 16:05:05+00:00,15.0
62,2018-07-19 16:05:10+00:00,12.0
63,2018-07-19 16:05:15+00:00,15.0
64,2018-07-19 16:05:20+00:00,15.0
65,2018-07-19 16:05:25+00:00,12.0
66,2018-07-19 16:05:30+00:00,15.0
67,2018-07-19 16:05:35+00:00,15.0
68,2018-07-19 16:05:40+00:00,12.0
69,2018-07-19 16:05:45+00:00,15.0
70,2018-07-19 16:05:50+00:00,15.0
71,2018-07-19 16:05:55+00:00,15.0
72,2018-07-19 16:06:00+00:00,15.0
73,2018-07-19 16:06:05+00:00,12.0
74,2018-07-19 16:06:10+00:00,15.0
75,2018-07-19 16:06:15+00:00,15.0
